Interactor	NumBaits	Baits
SNRPA	5	BCAS3, EDN1, EDNRA, PLPP3, FN1
SQOR	5	ARHGEF26, BCAS3, FN1, PHACTR1, PLPP3
SRSF3	5	ADAMTS7, EDN1, FLT1, JCAD, FN1
SRSF9	5	BCAS3, EDN1, FLT1, PHACTR1, FN1
TCP1	5	ARHGEF26, BCAS3, JCAD, PLPP3, FN1
TRIM21	5	ARHGEF26, BCAS3, EDN1, EDNRA, FN1
YBX1	5	ADAMTS7, BCAS3, JCAD, PLPP3, FN1
YBX3	5	ADAMTS7, EDN1, FLT1, JCAD, PLPP3
ACAP2	4	BCAS3, EDN1, JCAD, PLPP3
ACTB	4	EDN1, FLT1, FN1, PHACTR1
ACTR1A	4	ARHGEF26, BCAS3, EDN1, PLPP3
ACTR2	4	ADAMTS7, EDN1, FLT1, FN1
ALB	4	ADAMTS7, ARHGEF26, EDN1, JCAD
ANKFY1	4	BCAS3, EDN1, FN1, PLPP3
AP2A1	4	BCAS3, FLT1, JCAD, PLPP3
AP2M1	4	BCAS3, EDN1, FLT1, PLPP3
ARGLU1	4	ADAMTS7, ARHGEF26, EDN1, EDNRA
ARL6IP4	4	ADAMTS7, BCAS3, EDNRA, FN1
ATP5F1A	4	BCAS3, EDN1, FN1, PLPP3
ATP5PO	4	BCAS3, EDN1, FN1, PLPP3
BAG2	4	EDNRA, FLT1, JCAD, PLPP3
BCLAF1	4	ADAMTS7, EDN1, FLT1, FN1
CAPZB	4	ADAMTS7, BCAS3, EDN1, FLT1
CAV1	4	ADAMTS7, ARHGEF26, EDN1, FN1
CCT2	4	ARHGEF26, BCAS3, EDN1, FN1
CCT4	4	BCAS3, JCAD, PLPP3, FN1
CIRBP	4	EDN1, HDAC9, PLPP3, FN1
CKAP4	4	BCAS3, FN1, JCAD, PLPP3
CLTC	4	ARHGEF26, EDN1, FLT1, FN1
CTTN	4	ADAMTS7, EDN1, FLT1, PLPP3
DHX9	4	ARHGEF26, EDN1, FLT1, FN1
DNAJC10	4	BCAS3, EDN1, EDNRA, PLPP3
DYNC1H1	4	BCAS3, EDN1, PLPP3, FN1
EIF3L	4	BCAS3, EDN1, EDNRA, PLPP3
ERH	4	ADAMTS7, ARHGEF26, EDN1, FLT1
FAM120A	4	ADAMTS7, BCAS3, FLT1, PLPP3
FAM98A	4	ADAMTS7, FLT1, FN1, PLPP3
FAU	4	ADAMTS7, BCAS3, EDNRA, PLPP3
FBN1	4	ARHGEF26, EDN1, PLPP3, FN1
FUS	4	EDNRA, FLT1, PLPP3, FN1
FXR1	4	ADAMTS7, EDN1, FLT1, FN1
GAPDH	4	ARHGEF26, EDN1, PLPP3, FN1
HELZ2	4	BCAS3, FN1, JCAD, PLPP3
HNRNPA3	4	ARHGEF26, BCAS3, EDN1, PHACTR1
HNRNPH3	4	BCAS3, EDNRA, PHACTR1, FN1
HNRNPK	4	ADAMTS7, FLT1, JCAD, PLPP3
HSP90B1	4	BCAS3, EDN1, FN1, PLPP3
HSPB1	4	ARHGEF26, EDN1, JCAD, PLPP3
KTN1	4	BCAS3, EDN1, FN1, PLPP3
LDHA	4	ADAMTS7, ARHGEF26, EDN1, FN1
LMNA	4	EDN1, HDAC9, PHACTR1, FN1
LUC7L2	4	ADAMTS7, EDNRA, JCAD, PLPP3
LUC7L3	4	ADAMTS7, EDN1, EDNRA, FN1
MAP1S	4	ARHGEF26, BCAS3, FN1, PLPP3
MAP4	4	EDN1, JCAD, PLPP3, FN1
MOV10	4	EDNRA, FLT1, FN1, PLPP3
MRPL11	4	BCAS3, EDN1, FN1, PLPP3
MYH9	4	ARHGEF26, EDN1, FLT1, FN1
MYL12A	4	ARHGEF26, EDN1, FLT1, PHACTR1
MYL6	4	ARHGEF26, EDN1, FLT1, FN1
MYO6	4	ARHGEF26, FLT1, FN1, PLPP3
OAS2	4	ARHGEF26, BCAS3, EDN1, PLPP3
P4HB	4	EDN1, EDNRA, FN1, PLPP3
PABPC1	4	ADAMTS7, EDN1, JCAD, PLPP3
PABPC4	4	ADAMTS7, EDN1, JCAD, PLPP3
PCBP2	4	BCAS3, EDN1, JCAD, PLPP3
PLEC	4	EDN1, EDNRA, PHACTR1, FN1
PRDX1	4	ADAMTS7, BCAS3, EDN1, FN1
PRKAR1A	4	ADAMTS7, BCAS3, FN1, PLPP3
PYM1	4	FN1, JCAD, PHACTR1, PLPP3
ROCK1	4	BCAS3, EDN1, JCAD, PLPP3
RPL17	4	ADAMTS7, BCAS3, PLPP3, FN1
RPL23	4	HDAC9, JCAD, PLPP3, FN1
RPL26	4	ADAMTS7, BCAS3, PLPP3, FN1
RPL32	4	BCAS3, EDN1, FN1, PLPP3
RPL37A	4	ARHGEF26, EDNRA, FLT1, FN1
RPS13	4	ADAMTS7, BCAS3, FLT1, PLPP3
RPS14	4	FLT1, HDAC9, JCAD, PLPP3
RPS18	4	ADAMTS7, EDN1, EDNRA, PLPP3
RPS24	4	ADAMTS7, ARHGEF26, BCAS3, PLPP3
RPS26	4	ADAMTS7, BCAS3, FLT1, PLPP3
RPS29	4	BCAS3, EDNRA, PHACTR1, PLPP3
RPS3	4	ADAMTS7, BCAS3, JCAD, PLPP3
RPS7	4	ADAMTS7, HDAC9, JCAD, PLPP3
RPS9	4	ADAMTS7, ARHGEF26, BCAS3, PLPP3
S100A10	4	ADAMTS7, ARHGEF26, EDN1, PLPP3
S100A6	4	ADAMTS7, BCAS3, EDN1, PLPP3
SAMHD1	4	ARHGEF26, BCAS3, EDN1, PLPP3
SLC25A3	4	ARHGEF26, BCAS3, FN1, PLPP3
SLC25A5	4	BCAS3, JCAD, PLPP3, FN1
SNRNP70	4	ADAMTS7, BCAS3, EDNRA, FN1
SNRPD2	4	ARHGEF26, EDN1, EDNRA, FLT1
SNRPD3	4	ADAMTS7, EDNRA, PLPP3, FN1
SRP14	4	BCAS3, EDNRA, PLPP3, FN1
SRSF4	4	BCAS3, EDN1, EDNRA, PHACTR1
SRSF7	4	ADAMTS7, EDN1, FLT1, FN1
SSB	4	ARHGEF26, BCAS3, PHACTR1, FN1
TGM2	4	ARHGEF26, EDN1, PLPP3, FN1
TNRC6B	4	EDN1, EDNRA, FN1, PLPP3
TPM4	4	ARHGEF26, EDN1, FLT1, PHACTR1
TRA2B	4	ADAMTS7, EDN1, FLT1, FN1
TRIM25	4	ARHGEF26, EDN1, JCAD, PLPP3
TUFM	4	EDN1, FLT1, PLPP3, FN1
VIM	4	ARHGEF26, JCAD, PHACTR1, FN1
XRCC6	4	ARHGEF26, BCAS3, EDN1, PLPP3
ACOT9	3	BCAS3, FN1, PLPP3
ACTBL2	3	ADAMTS7, EDN1, FLT1
ACTN4	3	BCAS3, EDN1, PHACTR1
ACTR3	3	ADAMTS7, EDN1, FLT1
AGO2	3	EDN1, EDNRA, FN1
AHNAK	3	EDN1, FLT1, FN1
ALYREF	3	EDN1, PHACTR1, FN1
AMPD2	3	BCAS3, JCAD, PLPP3
ANGPTL4	3	ARHGEF26, BCAS3, EDN1
ANXA5	3	EDN1, EDNRA, PLPP3
AP2B1	3	ADAMTS7, FLT1, PLPP3
ARCN1	3	ARHGEF26, BCAS3, EDNRA
ARHGAP22	3	BCAS3, EDNRA, PLPP3
ARPC1B	3	ADAMTS7, EDN1, FLT1
ARPC2	3	ADAMTS7, EDN1, FLT1
ARPC3	3	ADAMTS7, EDN1, FLT1
ARPC5	3	ADAMTS7, EDN1, FLT1
ARPC5L	3	EDN1, FLT1, PHACTR1
ATP1A1	3	BCAS3, FN1, PLPP3
ATP5F1C	3	EDN1, EDNRA, FN1
ATP6V1A	3	ARHGEF26, BCAS3, PLPP3
CALR	3	BCAS3, EDN1, FN1
CALU	3	BCAS3, EDN1, PLPP3
CAPZA1	3	BCAS3, EDN1, FLT1
CAPZA2	3	BCAS3, EDN1, FLT1
CARD6	3	FN1, JCAD, PLPP3
CAVIN2	3	ADAMTS7, EDN1, FN1
CAVIN3	3	ADAMTS7, FN1, JCAD
CCAR2	3	BCAS3, JCAD, PLPP3
CCT3	3	ARHGEF26, PLPP3, FN1
CCT5	3	BCAS3, PLPP3, FN1
CCT6A	3	ARHGEF26, PLPP3, FN1
CCT8	3	BCAS3, JCAD, FN1
CKAP5	3	BCAS3, PLPP3, FN1
CLTA	3	ARHGEF26, FLT1, FN1
COL1A1	3	EDN1, PLPP3, FN1
COL3A1	3	EDN1, FN1, PLPP3
CSDE1	3	ARHGEF26, BCAS3, PLPP3
DCD	3	ADAMTS7, HDAC9, FN1
DCTN2	3	BCAS3, EDNRA, PLPP3
DDX17	3	EDN1, FLT1, PLPP3
DDX46	3	ADAMTS7, EDN1, EDNRA
DHX15	3	ARHGEF26, EDN1, FLT1
DNAJA1	3	EDNRA, JCAD, PLPP3
DNAJC13	3	EDN1, FN1, PHACTR1
DPP7	3	BCAS3, EDN1, HDAC9
EEF1A1	3	ARHGEF26, JCAD, PLPP3
EEF1A1P5	3	ARHGEF26, JCAD, PLPP3
EEF2	3	EDN1, PLPP3, FN1
EIF2AK2	3	ARHGEF26, BCAS3, EDN1
EIF2S2	3	BCAS3, FN1, PLPP3
EIF3A	3	EDN1, JCAD, PLPP3
EIF3D	3	ADAMTS7, BCAS3, PLPP3
EIF3F	3	EDN1, JCAD, PLPP3
EIF3H	3	ARHGEF26, EDN1, PLPP3
EIF3I	3	BCAS3, EDN1, PLPP3
ELAVL1	3	ADAMTS7, FLT1, FN1
ELMO2	3	BCAS3, EDN1, PLPP3
EWSR1	3	ARHGEF26, BCAS3, FN1
FAM98B	3	EDNRA, FN1, PLPP3
FGF2	3	ARHGEF26, HDAC9, PLPP3
FLNA	3	ARHGEF26, BCAS3, EDN1
FLNC	3	BCAS3, EDNRA, JCAD
FNDC3B	3	ARHGEF26, EDNRA, JCAD
FXR2	3	ADAMTS7, EDN1, FLT1
G3BP1	3	ADAMTS7, BCAS3, PLPP3
GBE1	3	ARHGEF26, EDN1, FN1
GOLGA3	3	BCAS3, FN1, JCAD
GSN	3	ADAMTS7, EDN1, FN1
GTF2I	3	EDN1, FN1, PLPP3
HADHB	3	FN1, JCAD, PLPP3
HDLBP	3	ADAMTS7, ARHGEF26, PLPP3
HLA-C	3	ARHGEF26, EDN1, FN1
HNRNPA2B1	3	BCAS3, EDN1, PHACTR1
HNRNPAB	3	ARHGEF26, EDN1, FN1
HNRNPC	3	ARHGEF26, EDN1, FN1
HNRNPH1	3	ADAMTS7, ARHGEF26, EDNRA
HNRNPLL	3	ARHGEF26, BCAS3, PLPP3
HP1BP3	3	EDNRA, FN1, PHACTR1
HSD17B4	3	BCAS3, EDNRA, FN1
HSP90AB1	3	ARHGEF26, PLPP3, FN1
HSPA5	3	ARHGEF26, BCAS3, EDN1
HSPA8	3	ARHGEF26, EDNRA, FLT1
HSPD1	3	BCAS3, EDN1, FN1
HSPG2	3	EDN1, PLPP3, FN1
IFI16	3	ARHGEF26, EDN1, PLPP3
IFIT3	3	ARHGEF26, EDN1, PLPP3
ILF2	3	EDN1, FLT1, FN1
IMPDH2	3	ARHGEF26, EDN1, PLPP3
INF2	3	ARHGEF26, EDNRA, FN1
ISG15	3	ARHGEF26, BCAS3, EDN1
ITIH2	3	EDN1, PLPP3, FN1
KIF11	3	BCAS3, EDN1, PHACTR1
KIF1B	3	ARHGEF26, FN1, PLPP3
KIF2A	3	ADAMTS7, FN1, PLPP3
LAMA4	3	FN1, PHACTR1, PLPP3
LARP1	3	ADAMTS7, ARHGEF26, FLT1
LRPPRC	3	JCAD, PLPP3, FN1
LRRFIP2	3	ARHGEF26, EDN1, FLT1
LUZP1	3	BCAS3, EDN1, PLPP3
MAP1B	3	ADAMTS7, FN1, JCAD
MAP2	3	BCAS3, EDN1, PLPP3
MAP3K7	3	ARHGEF26, EDN1, FN1
MARK2	3	EDNRA, FN1, PLPP3
MRPS35	3	BCAS3, EDN1, PLPP3
MSN	3	BCAS3, PLPP3, FN1
MTCL1	3	ARHGEF26, FN1, PLPP3
MTDH	3	ARHGEF26, BCAS3, PLPP3
MX2	3	ARHGEF26, EDN1, JCAD
MYO1B	3	EDN1, FLT1, FN1
MYO9B	3	BCAS3, FN1, PLPP3
NAV1	3	EDNRA, FN1, PLPP3
NT5C2	3	ARHGEF26, EDN1, PHACTR1
NT5E	3	EDN1, EDNRA, PLPP3
OASL	3	ARHGEF26, BCAS3, PLPP3
PALLD	3	ADAMTS7, EDN1, EDNRA
PAPSS2	3	ARHGEF26, EDNRA, PLPP3
PGAM5	3	EDN1, FLT1, FN1
PHB	3	EDN1, PLPP3, FN1
PHB2	3	EDN1, PLPP3, FN1
PHLDB2	3	EDNRA, JCAD, PLPP3
PKM	3	ARHGEF26, EDN1, FN1
PLOD1	3	EDN1, FN1, PHACTR1
PPIB	3	ARHGEF26, FN1, PLPP3
PRPF31	3	ARHGEF26, EDN1, EDNRA
PRPF8	3	ARHGEF26, EDN1, FLT1
PRSS1	3	EDNRA, HDAC9, FN1
PRUNE2	3	ARHGEF26, FN1, PLPP3
PSMC1	3	BCAS3, EDNRA, PLPP3
PSMC4	3	BCAS3, JCAD, PLPP3
PSMD2	3	ARHGEF26, BCAS3, PLPP3
PSMD8	3	BCAS3, EDNRA, PLPP3
PURA	3	ADAMTS7, FN1, PLPP3
PURB	3	ADAMTS7, FN1, PLPP3
PXDN	3	EDN1, FN1, PLPP3
RAD50	3	ARHGEF26, BCAS3, PHACTR1
RARS1	3	BCAS3, EDN1, FN1
RBM14	3	EDN1, FLT1, FN1
RNF213	3	ARHGEF26, BCAS3, PLPP3
RPA1	3	ARHGEF26, EDNRA, FN1
RPL35	3	ADAMTS7, ARHGEF26, FN1
RPL36AL	3	ADAMTS7, FN1, PLPP3
RPL39	3	EDNRA, FN1, PLPP3
RPL9	3	BCAS3, PLPP3, FN1
RPS12	3	ADAMTS7, EDN1, PLPP3
RPS15A	3	ADAMTS7, FLT1, PLPP3
RPS16	3	ADAMTS7, EDN1, PLPP3
RPS2	3	ADAMTS7, FLT1, PLPP3
RPS20	3	ADAMTS7, EDN1, PLPP3
RPS23	3	ADAMTS7, PLPP3, FN1
RPS28	3	ADAMTS7, FLT1, PLPP3
RPS4Y1	3	BCAS3, FLT1, PLPP3
RRP12	3	FN1, JCAD, PLPP3
RTCB	3	ADAMTS7, FLT1, PLPP3
SART1	3	BCAS3, EDN1, FN1
SERBP1	3	ADAMTS7, JCAD, PLPP3
SERPINB9	3	ARHGEF26, EDN1, PLPP3
SF3A1	3	BCAS3, EDNRA, FLT1
SF3A2	3	BCAS3, FLT1, PLPP3
SLC25A1	3	BCAS3, EDN1, PLPP3
SLIRP	3	BCAS3, FN1, PLPP3
SMTN	3	ARHGEF26, FLT1, FN1
SNRPB2	3	BCAS3, FLT1, PLPP3
SPTAN1	3	ARHGEF26, FLT1, PLPP3
SPTBN1	3	ARHGEF26, BCAS3, PLPP3
SRRM2	3	ARHGEF26, EDN1, FLT1
SRSF2	3	EDN1, FN1, JCAD
SRSF5	3	BCAS3, EDNRA, FLT1
SRSF6	3	EDN1, FLT1, PHACTR1
STAT1	3	ARHGEF26, EDN1, PLPP3
STAU1	3	ADAMTS7, BCAS3, PLPP3
STOM	3	BCAS3, PHACTR1, PLPP3
SUN2	3	ARHGEF26, EDN1, FN1
SVIL	3	BCAS3, EDN1, FLT1
SYNCRIP	3	ADAMTS7, EDN1, JCAD
THBS1	3	JCAD, PHACTR1, PLPP3
THRAP3	3	ARHGEF26, EDN1, FLT1
TLN1	3	EDN1, PLPP3, FN1
TMOD3	3	EDN1, FLT1, FN1
TNS1	3	EDNRA, JCAD, PLPP3
TPM2	3	ARHGEF26, FLT1, PHACTR1
TRA2A	3	ADAMTS7, EDN1, FLT1
TRIP6	3	ARHGEF26, FN1, PLPP3
TXNDC12	3	ARHGEF26, BCAS3, EDN1
U2AF2	3	ADAMTS7, EDN1, EDNRA
U2SURP	3	EDN1, EDNRA, FLT1
UPF1	3	ADAMTS7, JCAD, PLPP3
USP15	3	ARHGEF26, BCAS3, EDN1
VAPA	3	ARHGEF26, JCAD, PLPP3
VARS1	3	BCAS3, EDN1, PLPP3
WARS1	3	ARHGEF26, BCAS3, PLPP3
XRCC5	3	ARHGEF26, BCAS3, EDN1
XRN2	3	EDNRA, FN1, JCAD
YLPM1	3	ADAMTS7, ARHGEF26, EDN1
ABCF1	2	PLPP3, FN1
ABCF2	2	FN1, PLPP3
ABLIM3	2	FLT1, PLPP3
ACIN1	2	EDN1, EDNRA
ACLY	2	ADAMTS7, PLPP3
ACSL3	2	ARHGEF26, PLPP3
ACSL4	2	ARHGEF26, PLPP3
ACTC1	2	FLT1, PHACTR1
ADAR	2	BCAS3, FN1
ADD3	2	BCAS3, FLT1
AKAP11	2	BCAS3, PLPP3
AKAP9	2	ADAMTS7, JCAD
ALDOA	2	ADAMTS7, EDN1
ANPEP	2	BCAS3, PLPP3
AP3S1	2	EDNRA, PLPP3
ARF4	2	ADAMTS7, FLT1
ARHGAP21	2	JCAD, PLPP3
ARHGEF10	2	ARHGEF26, JCAD
ARHGEF2	2	FN1, PLPP3
ARPC1A	2	ADAMTS7, EDNRA
ARPC4	2	ADAMTS7, FLT1
ATAD3A	2	ARHGEF26, FLT1
ATP2A2	2	FN1, PLPP3
ATXN2	2	ADAMTS7, PLPP3
BMS1	2	BCAS3, PLPP3
BOLA2	2	BCAS3, EDN1
BTF3	2	FN1, PLPP3
BUB3	2	ARHGEF26, PLPP3
CAD	2	EDNRA, FN1
CALD1	2	ARHGEF26, FN1
CAMK2D	2	ARHGEF26, EDNRA
CANX	2	EDN1, PLPP3
CAPN1	2	PLPP3, FN1
CAST	2	FN1, PLPP3
CAV2	2	EDNRA, PHACTR1
CBR1	2	BCAS3, EDN1
CCAR1	2	EDN1, PLPP3
CCDC47	2	EDNRA, PLPP3
CCDC9B	2	EDNRA, FLT1
CDC42BPB	2	EDN1, FN1
CDK17	2	FLT1, PLPP3
CELF1	2	FN1, PLPP3
CEP131	2	FN1, JCAD
CFH	2	PLPP3, FN1
CFL1	2	EDN1, FN1
CHD2	2	BCAS3, PLPP3
CHERP	2	EDN1, FLT1
CHTOP	2	EDNRA, FLT1
CLASP1	2	FN1, PLPP3
CLNS1A	2	EDN1, PLPP3
CLTB	2	FLT1, FN1
CNP	2	ARHGEF26, PLPP3
COL12A1	2	EDNRA, FN1
COL18A1	2	FN1, PLPP3
COL1A2	2	EDN1, PLPP3
COL5A1	2	EDN1, EDNRA
COL6A1	2	EDN1, PLPP3
COL6A2	2	EDN1, PLPP3
COL6A3	2	EDN1, FN1
COPA	2	BCAS3, EDN1
COPG1	2	ARHGEF26, PLPP3
CORO1C	2	EDN1, PHACTR1
CORO2B	2	ADAMTS7, EDN1
CREBBP	2	EDN1, FN1
CSTB	2	ARHGEF26, EDN1
DAPK3	2	BCAS3, PLPP3
DARS1	2	ARHGEF26, BCAS3
DAZAP1	2	EDNRA, FN1
DBN1	2	ADAMTS7, PHACTR1
DCTN1	2	BCAS3, PLPP3
DCTN3	2	BCAS3, PLPP3
DCTN4	2	EDN1, PLPP3
DDB1	2	PLPP3, FN1
DDX1	2	ADAMTS7, PLPP3
DDX23	2	EDN1, PLPP3
DDX3Y	2	BCAS3, EDN1
DECR1	2	EDN1, PHACTR1
DERPC	2	BCAS3, FN1
DHX30	2	PLPP3, FN1
DHX35	2	EDN1, PLPP3
DHX57	2	FN1, PLPP3
DNAJA2	2	BCAS3, PLPP3
DNAJC1	2	EDNRA, PLPP3
DNAJC19	2	BCAS3, PLPP3
DNAJC8	2	BCAS3, PLPP3
DOCK4	2	BCAS3, EDN1
DOCK9	2	ARHGEF26, JCAD
DPY19L1	2	EDN1, PLPP3
DPYSL3	2	EDN1, FN1
DSTN	2	EDN1, PLPP3
DTX3L	2	ARHGEF26, PLPP3
DVL3	2	FN1, PLPP3
DYNC1I2	2	BCAS3, PLPP3
EHD1	2	ARHGEF26, PLPP3
EHD2	2	BCAS3, FN1
EHD4	2	ARHGEF26, PLPP3
EIF2S1	2	PLPP3, FN1
EIF2S3	2	PLPP3, FN1
EIF3B	2	EDN1, PLPP3
EIF3CL	2	ADAMTS7, EDN1
EIF3G	2	EDNRA, PLPP3
EIF3K	2	EDN1, PLPP3
EIF3M	2	EDN1, PLPP3
EIF4A3	2	EDN1, FLT1
EIF4B	2	ARHGEF26, BCAS3
EIF4E	2	EDNRA, PLPP3
EIF5B	2	PLPP3, FN1
ELP1	2	FN1, PLPP3
EMILIN1	2	EDN1, PLPP3
EPRS1	2	ARHGEF26, BCAS3
ERP44	2	EDN1, FN1
ESYT2	2	PLPP3, FN1
EXOSC10	2	BCAS3, FN1
FAM133B	2	EDN1, EDNRA
FARSA	2	FN1, PLPP3
FILIP1L	2	BCAS3, PLPP3
FKBP11	2	BCAS3, PLPP3
FLOT1	2	EDN1, PLPP3
FLOT2	2	EDN1, PLPP3
FMR1	2	ADAMTS7, EDN1
FN1	2	EDN1, PLPP3
G3BP2	2	ADAMTS7, ARHGEF26
GARS1	2	ARHGEF26, PLPP3
GEMIN5	2	EDNRA, FN1
GIGYF2	2	EDNRA, PLPP3
GIMAP1	2	ARHGEF26, PLPP3
GIMAP8	2	BCAS3, FN1
GIT2	2	ADAMTS7, PLPP3
GNB1	2	PLPP3, EDNRA
GOLGA2	2	EDNRA, FN1
GPATCH1	2	ARHGEF26, PLPP3
GPX4	2	EDN1, PLPP3
GSTP1	2	EDN1, EDNRA
